ds,y,is_weekend,is_saturday,is_sunday
2022-03-11,2401.0,0,0,0
2022-03-12,1579.0,1,1,0
2022-03-13,737.0,1,0,1
2022-03-14,2039.0,0,0,0
2022-03-15,2793.0,0,0,0
2022-03-16,2874.0,0,0,0
2022-03-17,2616.0,0,0,0
2022-03-18,2482.0,0,0,0
2022-03-19,1667.0,1,1,0
2022-03-20,766.0,1,0,1
2022-03-21,2127.0,0,0,0
2022-03-22,3067.0,0,0,0
2022-03-23,2802.0,0,0,0
2022-03-24,2487.0,0,0,0
2022-03-25,2717.0,0,0,0
2022-03-26,1787.0,1,1,0
2022-03-27,994.0,1,0,1
2022-03-28,2468.0,0,0,0
2022-03-29,3886.0,0,0,0
2022-03-30,3285.0,0,0,0
2022-03-31,3199.0,0,0,0
2022-04-01,2905.0,0,0,0
2022-04-02,1941.0,1,1,0
2022-04-03,1034.0,1,0,1
2022-04-04,2243.0,0,0,0
2022-04-05,3506.0,0,0,0
2022-04-06,3285.0,0,0,0
2022-04-07,3251.0,0,0,0
2022-04-08,3009.0,0,0,0
2022-04-09,1906.0,1,1,0
2022-04-10,1041.0,1,0,1
2022-04-11,2251.0,0,0,0
2022-04-12,3871.0,0,0,0
2022-04-13,3342.0,0,0,0
2022-04-14,2614.0,0,0,0
2022-04-15,1908.0,0,0,0
2022-04-16,0.0,1,1,0
2022-04-17,0.0,1,0,1
2022-04-18,1138.0,0,0,0
2022-04-19,3445.0,0,0,0
2022-04-20,3694.0,0,0,0
2022-04-21,3195.0,0,0,0
2022-04-22,2787.0,0,0,0
2022-04-23,1922.0,1,1,0
2022-04-24,1137.0,1,0,1
2022-04-25,2537.0,0,0,0
2022-04-26,3930.0,0,0,0
2022-04-27,3458.0,0,0,0
2022-04-28,3530.0,0,0,0
2022-04-29,3220.0,0,0,0
2022-04-30,2361.0,1,1,0
2022-05-01,1104.0,1,0,1
2022-05-02,2135.0,0,0,0
2022-05-03,3211.0,0,0,0
2022-05-04,3622.0,0,0,0
2022-05-05,3309.0,0,0,0
2022-05-06,3152.0,0,0,0
2022-05-07,2183.0,1,1,0
2022-05-08,1062.0,1,0,1
2022-05-09,2497.0,0,0,0
2022-05-10,3417.0,0,0,0
2022-05-11,3465.0,0,0,0
2022-05-12,3209.0,0,0,0
2022-05-13,2789.0,0,0,0
2022-05-14,1974.0,1,1,0
2022-05-15,999.0,1,0,1
2022-05-16,2461.0,0,0,0
2022-05-17,3541.0,0,0,0
2022-05-18,3258.0,0,0,0
2022-05-19,3084.0,0,0,0
2022-05-20,2871.0,0,0,0
2022-05-21,1927.0,1,1,0
2022-05-22,997.0,1,0,1
2022-05-23,2580.0,0,0,0
2022-05-24,3685.0,0,0,0
2022-05-25,3495.0,0,0,0
2022-05-26,2425.0,0,0,0
2022-05-27,2558.0,0,0,0
2022-05-28,2504.0,1,1,0
2022-05-29,1127.0,1,0,1
2022-05-30,3074.0,0,0,0
2022-05-31,3819.0,0,0,0
2022-06-01,3610.0,0,0,0
2022-06-02,3456.0,0,0,0
2022-06-03,3263.0,0,0,0
2022-06-04,2282.0,1,1,0
2022-06-05,1160.0,1,0,1
2022-06-06,1491.0,0,0,0
2022-06-07,2604.0,0,0,0
2022-06-08,3831.0,0,0,0
2022-06-09,3664.0,0,0,0
2022-06-10,3094.0,0,0,0
2022-06-11,2651.0,1,1,0
2022-06-12,1174.0,1,0,1
2022-06-13,2545.0,0,0,0
2022-06-14,3724.0,0,0,0
2022-06-15,3628.0,0,0,0
2022-06-16,3163.0,0,0,0
2022-06-17,3338.0,0,0,0
2022-06-18,1892.0,1,1,0
2022-06-19,18.0,1,0,1
2022-06-20,3944.0,0,0,0
2022-06-21,3829.0,0,0,0
2022-06-22,4060.0,0,0,0
2022-06-23,3263.0,0,0,0
2022-06-24,0.0,0,0,0
2022-06-25,0.0,1,1,0
2022-06-26,405.0,1,0,1
2022-06-27,4554.0,0,0,0
2022-06-28,4486.0,0,0,0
2022-06-29,4677.0,0,0,0
2022-06-30,3786.0,0,0,0
2022-07-01,3520.0,0,0,0
2022-07-02,2309.0,1,1,0
2022-07-03,53.0,1,0,1
2022-07-04,3385.0,0,0,0
2022-07-05,3618.0,0,0,0
2022-07-06,3329.0,0,0,0
2022-07-07,3308.0,0,0,0
2022-07-08,3207.0,0,0,0
2022-07-09,2308.0,1,1,0
2022-07-10,51.0,1,0,1
2022-07-11,3316.0,0,0,0
2022-07-12,3489.0,0,0,0
2022-07-13,3277.0,0,0,0
2022-07-14,2817.0,0,0,0
2022-07-15,2799.0,0,0,0
2022-07-16,1821.0,1,1,0
2022-07-17,27.0,1,0,1
2022-07-18,2893.0,0,0,0
2022-07-19,3446.0,0,0,0
2022-07-20,3035.0,0,0,0
2022-07-21,2528.0,0,0,0
2022-07-22,2496.0,0,0,0
2022-07-23,1466.0,1,1,0
2022-07-24,33.0,1,0,1
2022-07-25,3066.0,0,0,0
2022-07-26,3617.0,0,0,0
2022-07-27,3421.0,0,0,0
2022-07-28,3392.0,0,0,0
2022-07-29,2899.0,0,0,0
2022-07-30,2201.0,1,1,0
2022-07-31,33.0,1,0,1
2022-08-01,3170.0,0,0,0
2022-08-02,3503.0,0,0,0
2022-08-03,3448.0,0,0,0
2022-08-04,3039.0,0,0,0
2022-08-05,3020.0,0,0,0
2022-08-06,2264.0,1,1,0
2022-08-07,36.0,1,0,1
2022-08-08,3012.0,0,0,0
2022-08-09,3621.0,0,0,0
2022-08-10,3419.0,0,0,0
2022-08-11,3374.0,0,0,0
2022-08-12,3090.0,0,0,0
2022-08-13,1862.0,1,1,0
2022-08-14,35.0,1,0,1
2022-08-15,3404.0,0,0,0
2022-08-16,4088.0,0,0,0
2022-08-17,3566.0,0,0,0
2022-08-18,3134.0,0,0,0
2022-08-19,2854.0,0,0,0
2022-08-20,1931.0,1,1,0
2022-08-21,30.0,1,0,1
2022-08-22,2901.0,0,0,0
2022-08-23,3668.0,0,0,0
2022-08-24,3855.0,0,0,0
2022-08-25,3264.0,0,0,0
2022-08-26,3691.0,0,0,0
2022-08-27,2155.0,1,1,0
2022-08-28,56.0,1,0,1
2022-08-29,3960.0,0,0,0
2022-08-30,4157.0,0,0,0
2022-08-31,4503.0,0,0,0
2022-09-01,4170.0,0,0,0
2022-09-02,3774.0,0,0,0
2022-09-03,2339.0,1,1,0
2022-09-04,36.0,1,0,1
2022-09-05,3834.0,0,0,0
2022-09-06,4392.0,0,0,0
2022-09-07,3740.0,0,0,0
2022-09-08,3884.0,0,0,0
2022-09-09,3565.0,0,0,0
2022-09-10,2007.0,1,1,0
2022-09-11,344.0,1,0,1
2022-09-12,3286.0,0,0,0
2022-09-13,4248.0,0,0,0
2022-09-14,3626.0,0,0,0
2022-09-15,3475.0,0,0,0
2022-09-16,3373.0,0,0,0
2022-09-17,2155.0,1,1,0
2022-09-18,372.0,1,0,1
2022-09-19,3637.0,0,0,0
2022-09-20,4234.0,0,0,0
2022-09-21,3945.0,0,0,0
2022-09-22,3575.0,0,0,0
2022-09-23,2931.0,0,0,0
2022-09-24,2296.0,1,1,0
2022-09-25,420.0,1,0,1
2022-09-26,3802.0,0,0,0
2022-09-27,4023.0,0,0,0
2022-09-28,4259.0,0,0,0
2022-09-29,4161.0,0,0,0
2022-09-30,3685.0,0,0,0
2022-10-01,2485.0,1,1,0
2022-10-02,439.0,1,0,1
2022-10-03,3955.0,0,0,0
2022-10-04,4090.0,0,0,0
2022-10-05,4363.0,0,0,0
2022-10-06,3863.0,0,0,0
2022-10-07,3697.0,0,0,0
2022-10-08,2541.0,1,1,0
2022-10-09,468.0,1,0,1
2022-10-10,4093.0,0,0,0
2022-10-11,4778.0,0,0,0
2022-10-12,4098.0,0,0,0
2022-10-13,3926.0,0,0,0
2022-10-14,3632.0,0,0,0
2022-10-15,2280.0,1,1,0
2022-10-16,455.0,1,0,1
2022-10-17,3786.0,0,0,0
2022-10-18,4715.0,0,0,0
2022-10-19,4088.0,0,0,0
2022-10-20,3643.0,0,0,0
2022-10-21,3469.0,0,0,0
2022-10-22,2333.0,1,1,0
2022-10-23,442.0,1,0,1
2022-10-24,3878.0,0,0,0
2022-10-25,4984.0,0,0,0
2022-10-26,4603.0,0,0,0
2022-10-27,4692.0,0,0,0
2022-10-28,4437.0,0,0,0
2022-10-29,2824.0,1,1,0
2022-10-30,517.0,1,0,1
2022-10-31,4263.0,0,0,0
2022-11-01,5084.0,0,0,0
2022-11-02,4606.0,0,0,0
2022-11-03,4367.0,0,0,0
2022-11-04,3842.0,0,0,0
2022-11-05,1950.0,1,1,0
2022-11-06,352.0,1,0,1
2022-11-07,4162.0,0,0,0
2022-11-08,5141.0,0,0,0
2022-11-09,4528.0,0,0,0
2022-11-10,4377.0,0,0,0
2022-11-11,4170.0,0,0,0
2022-11-12,2646.0,1,1,0
2022-11-13,528.0,1,0,1
2022-11-14,4458.0,0,0,0
2022-11-15,4865.0,0,0,0
2022-11-16,4512.0,0,0,0
2022-11-17,4007.0,0,0,0
2022-11-18,3766.0,0,0,0
2022-11-19,2470.0,1,1,0
2022-11-20,464.0,1,0,1
2022-11-21,3793.0,0,0,0
2022-11-22,5212.0,0,0,0
2022-11-23,5483.0,0,0,0
2022-11-24,5206.0,0,0,0
2022-11-25,5818.0,0,0,0
2022-11-26,5059.0,1,1,0
2022-11-27,4336.0,1,0,1
2022-11-28,5265.0,0,0,0
2022-11-29,5487.0,0,0,0
2022-11-30,6179.0,0,0,0
2022-12-01,6211.0,0,0,0
2022-12-02,6126.0,0,0,0
2022-12-03,4686.0,1,1,0
2022-12-04,3415.0,1,0,1
2022-12-05,4501.0,0,0,0
2022-12-06,5797.0,0,0,0
2022-12-07,5451.0,0,0,0
2022-12-08,5686.0,0,0,0
2022-12-09,5356.0,0,0,0
2022-12-10,4129.0,1,1,0
2022-12-11,2798.0,1,0,1
2022-12-12,4250.0,0,0,0
2022-12-13,5715.0,0,0,0
2022-12-14,5356.0,0,0,0
2022-12-15,5992.0,0,0,0
2022-12-16,5957.0,0,0,0
2022-12-17,4426.0,1,1,0
2022-12-18,2487.0,1,0,1
2022-12-19,4402.0,0,0,0
2022-12-20,6374.0,0,0,0
2022-12-21,6892.0,0,0,0
2022-12-22,5430.0,0,0,0
2022-12-23,4224.0,0,0,0
2022-12-24,0.0,1,1,0
2022-12-25,0.0,1,0,1
2022-12-26,1026.0,0,0,0
2022-12-27,5086.0,0,0,0
2022-12-28,5912.0,0,0,0
2022-12-29,6028.0,0,0,0
2022-12-30,5571.0,0,0,0
2022-12-31,1.0,1,1,0
2023-01-01,0.0,1,0,1
2023-01-02,522.0,0,0,0
2023-01-03,4107.0,0,0,0
2023-01-04,4469.0,0,0,0
2023-01-05,4808.0,0,0,0
2023-01-06,1276.0,0,0,0
2023-01-07,3220.0,1,1,0
2023-01-08,530.0,1,0,1
2023-01-09,4607.0,0,0,0
2023-01-10,5374.0,0,0,0
2023-01-11,5109.0,0,0,0
2023-01-12,4533.0,0,0,0
2023-01-13,4115.0,0,0,0
2023-01-14,2641.0,1,1,0
2023-01-15,426.0,1,0,1
2023-01-16,3521.0,0,0,0
2023-01-17,5155.0,0,0,0
2023-01-18,4136.0,0,0,0
2023-01-19,4375.0,0,0,0
2023-01-20,3933.0,0,0,0
2023-01-21,2747.0,1,1,0
2023-01-22,551.0,1,0,1
2023-01-23,3465.0,0,0,0
2023-01-24,4999.0,0,0,0
2023-01-25,4503.0,0,0,0
2023-01-26,4244.0,0,0,0
2023-01-27,5083.0,0,0,0
2023-01-28,3305.0,1,1,0
2023-01-29,653.0,1,0,1
2023-01-30,3886.0,0,0,0
2023-01-31,5091.0,0,0,0
2023-02-01,5389.0,0,0,0
2023-02-02,4588.0,0,0,0
2023-02-03,4381.0,0,0,0
2023-02-04,3119.0,1,1,0
2023-02-05,611.0,1,0,1
2023-02-06,3470.0,0,0,0
2023-02-07,5568.0,0,0,0
2023-02-08,4588.0,0,0,0
2023-02-09,4749.0,0,0,0
2023-02-10,4332.0,0,0,0
2023-02-11,2787.0,1,1,0
2023-02-12,564.0,1,0,1
2023-02-13,3529.0,0,0,0
2023-02-14,4973.0,0,0,0
2023-02-15,4699.0,0,0,0
2023-02-16,3796.0,0,0,0
2023-02-17,3833.0,0,0,0
2023-02-18,2671.0,1,1,0
2023-02-19,439.0,1,0,1
2023-02-20,3221.0,0,0,0
2023-02-21,5350.0,0,0,0
2023-02-22,4886.0,0,0,0
2023-02-23,3840.0,0,0,0
2023-02-24,3958.0,0,0,0
2023-02-25,2912.0,1,1,0
2023-02-26,591.0,1,0,1
2023-02-27,4451.0,0,0,0
2023-02-28,4997.0,0,0,0
2023-03-01,5538.0,0,0,0
2023-03-02,5030.0,0,0,0
2023-03-03,4611.0,0,0,0
2023-03-04,3067.0,1,1,0
2023-03-05,601.0,1,0,1
2023-03-06,4609.0,0,0,0
2023-03-07,5135.0,0,0,0
2023-03-08,4573.0,0,0,0
2023-03-09,5541.0,0,0,0
2023-03-10,4335.0,0,0,0
2023-03-11,3300.0,1,1,0
2023-03-12,646.0,1,0,1
2023-03-13,3925.0,0,0,0
2023-03-14,4689.0,0,0,0
2023-03-15,5701.0,0,0,0
2023-03-16,4577.0,0,0,0
2023-03-17,4247.0,0,0,0
2023-03-18,3138.0,1,1,0
2023-03-19,685.0,1,0,1
2023-03-20,4093.0,0,0,0
2023-03-21,5206.0,0,0,0
2023-03-22,4883.0,0,0,0
2023-03-23,4174.0,0,0,0
2023-03-24,4832.0,0,0,0
2023-03-25,3225.0,1,1,0
2023-03-26,748.0,1,0,1
2023-03-27,4219.0,0,0,0
2023-03-28,5926.0,0,0,0
2023-03-29,5764.0,0,0,0
2023-03-30,5704.0,0,0,0
2023-03-31,4081.0,0,0,0
2023-04-01,4442.0,1,1,0
2023-04-02,646.0,1,0,1
2023-04-03,4883.0,0,0,0
2023-04-04,5913.0,0,0,0
2023-04-05,5805.0,0,0,0
2023-04-06,4893.0,0,0,0
2023-04-07,3136.0,0,0,0
2023-04-08,0.0,1,1,0
2023-04-09,1.0,1,0,1
2023-04-10,1936.0,0,0,0
2023-04-11,6090.0,0,0,0
2023-04-12,6296.0,0,0,0
2023-04-13,6040.0,0,0,0
2023-04-14,5759.0,0,0,0
2023-04-15,3922.0,1,1,0
2023-04-16,801.0,1,0,1
2023-04-17,4201.0,0,0,0
2023-04-18,5571.0,0,0,0
2023-04-19,5229.0,0,0,0
2023-04-20,5313.0,0,0,0
2023-04-21,4279.0,0,0,0
2023-04-22,2727.0,1,1,0
2023-04-23,568.0,1,0,1
2023-04-24,4146.0,0,0,0
2023-04-25,4985.0,0,0,0
2023-04-26,6067.0,0,0,0
2023-04-27,5707.0,0,0,0
2023-04-28,5352.0,0,0,0
2023-04-29,4087.0,1,1,0
2023-04-30,730.0,1,0,1
2023-05-01,3160.0,0,0,0
2023-05-02,4305.0,0,0,0
2023-05-03,5813.0,0,0,0
2023-05-04,5938.0,0,0,0
2023-05-05,5301.0,0,0,0
2023-05-06,4512.0,1,1,0
2023-05-07,842.0,1,0,1
2023-05-08,4837.0,0,0,0
2023-05-09,6489.0,0,0,0
2023-05-10,6124.0,0,0,0
2023-05-11,5729.0,0,0,0
2023-05-12,5367.0,0,0,0
2023-05-13,3681.0,1,1,0
2023-05-14,821.0,1,0,1
2023-05-15,4711.0,0,0,0
2023-05-16,5990.0,0,0,0
2023-05-17,6139.0,0,0,0
2023-05-18,1668.0,0,0,0
2023-05-19,5272.0,0,0,0
2023-05-20,4306.0,1,1,0
2023-05-21,577.0,1,0,1
2023-05-22,5756.0,0,0,0
2023-05-23,5762.0,0,0,0
2023-05-24,6156.0,0,0,0
2023-05-25,5705.0,0,0,0
2023-05-26,5966.0,0,0,0
2023-05-27,4320.0,1,1,0
2023-05-28,662.0,1,0,1
2023-05-29,4565.0,0,0,0
2023-05-30,6380.0,0,0,0
2023-05-31,6502.0,0,0,0
2023-06-01,6262.0,0,0,0
2023-06-02,5716.0,0,0,0
2023-06-03,3673.0,1,1,0
2023-06-04,1109.0,1,0,1
2023-06-05,4719.0,0,0,0
2023-06-06,4887.0,0,0,0
2023-06-07,2780.0,0,0,0
2023-06-08,7088.0,0,0,0
2023-06-09,6435.0,0,0,0
2023-06-10,4356.0,1,1,0
2023-06-11,591.0,1,0,1
2023-06-12,4474.0,0,0,0
2023-06-13,6230.0,0,0,0
2023-06-14,5768.0,0,0,0
2023-06-15,5721.0,0,0,0
2023-06-16,5693.0,0,0,0
2023-06-17,3705.0,1,1,0
2023-06-18,611.0,1,0,1
2023-06-19,4678.0,0,0,0
2023-06-20,6285.0,0,0,0
2023-06-21,6674.0,0,0,0
2023-06-22,5637.0,0,0,0
2023-06-23,1.0,0,0,0
2023-06-24,0.0,1,1,0
2023-06-25,4100.0,1,0,1
2023-06-26,4369.0,0,0,0
2023-06-27,6022.0,0,0,0
2023-06-28,5711.0,0,0,0
2023-06-29,6156.0,0,0,0
2023-06-30,5529.0,0,0,0
2023-07-01,3807.0,1,1,0
2023-07-02,495.0,1,0,1
2023-07-03,4251.0,0,0,0
2023-07-04,5538.0,0,0,0
2023-07-05,5847.0,0,0,0
2023-07-06,4657.0,0,0,0
2023-07-07,4794.0,0,0,0
2023-07-08,3737.0,1,1,0
2023-07-09,421.0,1,0,1
2023-07-10,3977.0,0,0,0
2023-07-11,5722.0,0,0,0
2023-07-12,5182.0,0,0,0
2023-07-13,4606.0,0,0,0
2023-07-14,3850.0,0,0,0
2023-07-15,3205.0,1,1,0
2023-07-16,3.0,1,0,1
2023-07-17,3830.0,0,0,0
2023-07-18,4828.0,0,0,0
2023-07-19,4733.0,0,0,0
2023-07-20,4146.0,0,0,0
2023-07-21,4019.0,0,0,0
2023-07-22,2547.0,1,1,0
2023-07-23,1.0,1,0,1
2023-07-24,3040.0,0,0,0
2023-07-25,4311.0,0,0,0
2023-07-26,5759.0,0,0,0
2023-07-27,5002.0,0,0,0
2023-07-28,5143.0,0,0,0
2023-07-29,3625.0,1,1,0
2023-07-30,3.0,1,0,1
2023-07-31,4134.0,0,0,0
2023-08-01,4786.0,0,0,0
2023-08-02,6580.0,0,0,0
2023-08-03,5159.0,0,0,0
2023-08-04,5225.0,0,0,0
2023-08-05,3820.0,1,1,0
2023-08-06,0.0,1,0,1
2023-08-07,4623.0,0,0,0
2023-08-08,5284.0,0,0,0
2023-08-09,6141.0,0,0,0
2023-08-10,5190.0,0,0,0
2023-08-11,5028.0,0,0,0
2023-08-12,3593.0,1,1,0
2023-08-13,0.0,1,0,1
2023-08-14,4353.0,0,0,0
2023-08-15,5600.0,0,0,0
2023-08-16,5690.0,0,0,0
2023-08-17,5315.0,0,0,0
2023-08-18,4647.0,0,0,0
2023-08-19,3196.0,1,1,0
2023-08-20,0.0,1,0,1
2023-08-21,4169.0,0,0,0
2023-08-22,6314.0,0,0,0
2023-08-23,6386.0,0,0,0
2023-08-24,5480.0,0,0,0
2023-08-25,5105.0,0,0,0
2023-08-26,3841.0,1,1,0
2023-08-27,663.0,1,0,1
2023-08-28,5164.0,0,0,0
2023-08-29,7139.0,0,0,0
2023-08-30,6405.0,0,0,0
2023-08-31,6267.0,0,0,0
2023-09-01,6070.0,0,0,0
2023-09-02,3995.0,1,1,0
2023-09-03,777.0,1,0,1
2023-09-04,5195.0,0,0,0
2023-09-05,6592.0,0,0,0
2023-09-06,6290.0,0,0,0
2023-09-07,5599.0,0,0,0
2023-09-08,5188.0,0,0,0
2023-09-09,3208.0,1,1,0
2023-09-10,1017.0,1,0,1
2023-09-11,4681.0,0,0,0
2023-09-12,6191.0,0,0,0
2023-09-13,6199.0,0,0,0
2023-09-14,4790.0,0,0,0
2023-09-15,5324.0,0,0,0
2023-09-16,3176.0,1,1,0
2023-09-17,409.0,1,0,1
2023-09-18,4124.0,0,0,0
2023-09-19,6342.0,0,0,0
2023-09-20,6009.0,0,0,0
2023-09-21,5059.0,0,0,0
2023-09-22,5050.0,0,0,0
2023-09-23,3402.0,1,1,0
2023-09-24,464.0,1,0,1
2023-09-25,4374.0,0,0,0
2023-09-26,6917.0,0,0,0
2023-09-27,7084.0,0,0,0
2023-09-28,6781.0,0,0,0
2023-09-29,6999.0,0,0,0
2023-09-30,4651.0,1,1,0
2023-10-01,682.0,1,0,1
2023-10-02,5243.0,0,0,0
2023-10-03,7487.0,0,0,0
2023-10-04,6658.0,0,0,0
2023-10-05,5666.0,0,0,0
2023-10-06,5363.0,0,0,0
2023-10-07,4370.0,1,1,0
2023-10-08,577.0,1,0,1
2023-10-09,5045.0,0,0,0
2023-10-10,6641.0,0,0,0
2023-10-11,6553.0,0,0,0
2023-10-12,5605.0,0,0,0
2023-10-13,5534.0,0,0,0
2023-10-14,3846.0,1,1,0
2023-10-15,577.0,1,0,1
2023-10-16,4405.0,0,0,0
2023-10-17,5780.0,0,0,0
2023-10-18,6290.0,0,0,0
2023-10-19,6309.0,0,0,0
2023-10-20,5582.0,0,0,0
2023-10-21,3851.0,1,1,0
2023-10-22,516.0,1,0,1
2023-10-23,4770.0,0,0,0
2023-10-24,6695.0,0,0,0
2023-10-25,6835.0,0,0,0
2023-10-26,6105.0,0,0,0
2023-10-27,6405.0,0,0,0
2023-10-28,4346.0,1,1,0
2023-10-29,592.0,1,0,1
2023-10-30,5293.0,0,0,0
2023-10-31,6277.0,0,0,0
2023-11-01,6999.0,0,0,0
2023-11-02,5953.0,0,0,0
2023-11-03,5761.0,0,0,0
2023-11-04,4224.0,1,1,0
2023-11-05,669.0,1,0,1
2023-11-06,4733.0,0,0,0
2023-11-07,6925.0,0,0,0
2023-11-08,6572.0,0,0,0
2023-11-09,6353.0,0,0,0
2023-11-10,6295.0,0,0,0
2023-11-11,4141.0,1,1,0
2023-11-12,631.0,1,0,1
2023-11-13,3337.0,0,0,0
2023-11-14,7680.0,0,0,0
2023-11-15,6424.0,0,0,0
2023-11-16,6623.0,0,0,0
2023-11-17,6456.0,0,0,0
2023-11-18,4478.0,1,1,0
2023-11-19,132.0,1,0,1
2023-11-20,5729.0,0,0,0
2023-11-21,9455.0,0,0,0
2023-11-22,8693.0,0,0,0
2023-11-23,8828.0,0,0,0
2023-11-24,8774.0,0,0,0
2023-11-25,7478.0,1,1,0
2023-11-26,5603.0,1,0,1
2023-11-27,7107.0,0,0,0
2023-11-28,9729.0,0,0,0
2023-11-29,8933.0,0,0,0
2023-11-30,9541.0,0,0,0
2023-12-01,8640.0,0,0,0
2023-12-02,7694.0,1,1,0
2023-12-03,6237.0,1,0,1
2023-12-04,6438.0,0,0,0
2023-12-05,8645.0,0,0,0
2023-12-06,7673.0,0,0,0
2023-12-07,8186.0,0,0,0
2023-12-08,8359.0,0,0,0
2023-12-09,5719.0,1,1,0
2023-12-10,3705.0,1,0,1
2023-12-11,5867.0,0,0,0
2023-12-12,8232.0,0,0,0
2023-12-13,8287.0,0,0,0
2023-12-14,8052.0,0,0,0
2023-12-15,8581.0,0,0,0
2023-12-16,7355.0,1,1,0
2023-12-17,3621.0,1,0,1
2023-12-18,5327.0,0,0,0
2023-12-19,9302.0,0,0,0
2023-12-20,9129.0,0,0,0
2023-12-21,8230.0,0,0,0
2023-12-22,6303.0,0,0,0
2023-12-23,4638.0,1,1,0
2023-12-24,0.0,1,0,1
2023-12-25,0.0,0,0,0
2023-12-26,0.0,0,0,0
2023-12-27,5738.0,0,0,0
2023-12-28,7915.0,0,0,0
2023-12-29,9261.0,0,0,0
2023-12-30,7483.0,1,1,0
2023-12-31,1.0,1,0,1
2024-01-01,4.0,0,0,0
2024-01-02,3817.0,0,0,0
2024-01-03,8590.0,0,0,0
2024-01-04,6902.0,0,0,0
2024-01-05,6641.0,0,0,0
2024-01-06,6228.0,1,1,0
2024-01-07,1165.0,1,0,1
2024-01-08,5603.0,0,0,0
2024-01-09,7304.0,0,0,0
2024-01-10,7739.0,0,0,0
2024-01-11,6655.0,0,0,0
2024-01-12,6672.0,0,0,0
2024-01-13,4649.0,1,1,0
2024-01-14,215.0,1,0,1
2024-01-15,4481.0,0,0,0
2024-01-16,7183.0,0,0,0
2024-01-17,6110.0,0,0,0
2024-01-18,5843.0,0,0,0
2024-01-19,5601.0,0,0,0
2024-01-20,4245.0,1,1,0
2024-01-21,169.0,1,0,1
2024-01-22,3896.0,0,0,0
2024-01-23,7005.0,0,0,0
2024-01-24,6794.0,0,0,0
2024-01-25,5698.0,0,0,0
2024-01-26,6295.0,0,0,0
2024-01-27,5080.0,1,1,0
2024-01-28,183.0,1,0,1
2024-01-29,4743.0,0,0,0
2024-01-30,7915.0,0,0,0
2024-01-31,7584.0,0,0,0
2024-02-01,6518.0,0,0,0
2024-02-02,5923.0,0,0,0
2024-02-03,5125.0,1,1,0
2024-02-04,206.0,1,0,1
2024-02-05,5564.0,0,0,0
2024-02-06,6021.0,0,0,0
2024-02-07,7012.0,0,0,0
2024-02-08,6713.0,0,0,0
2024-02-09,6403.0,0,0,0
2024-02-10,5326.0,1,1,0
2024-02-11,78.0,1,0,1
2024-02-12,4488.0,0,0,0
2024-02-13,8215.0,0,0,0
2024-02-14,7363.0,0,0,0
2024-02-15,5946.0,0,0,0
2024-02-16,5677.0,0,0,0
2024-02-17,4284.0,1,1,0
2024-02-18,58.0,1,0,1
2024-02-19,4354.0,0,0,0
2024-02-20,7719.0,0,0,0
